"id","candidate_number","mon_toan","mon_van","mon_ly","mon_hoa","mon_sinh","mon_su","mon_dia","mon_gdcd","mon_ngoaingu","ma_mon_ngoai_ngu","mark_info","data_year"
1,"19000001",8.40,8.50,8.75,5.75,4.00,-1.00,-1.00,-1.00,7.80,N1,Môn Toán: 8.4; Môn Văn: 8.5; Môn Lý: 8.75; Môn Hóa: 5.75; Môn Sinh: 4; Môn Ngoại ngữ: 7.8; ,2024
2,"19000002",9.20,8.25,9.25,9.25,6.75,-1.00,-1.00,-1.00,8.20,N1,Môn Toán: 9.2; Môn Văn: 8.25; Môn Lý: 9.25; Môn Hóa: 9.25; Môn Sinh: 6.75; Môn Ngoại ngữ: 8.2; ,2024
3,"19000003",5.60,6.75,-1.00,-1.00,-1.00,4.25,6.25,7.75,2.80,N1,Môn Toán: 5.6; Môn Văn: 6.75; Môn Sử: 4.25; Môn Địa: 6.25; Môn Giáo dục công dân: 7.75; Môn Ngoại ngữ: 2.8; ,2024
4,"19000004",9.00,9.75,-1.00,-1.00,-1.00,7.50,9.25,9.50,8.60,N1,Môn Toán: 9; Môn Văn: 9.75; Môn Sử: 7.5; Môn Địa: 9.25; Môn Giáo dục công dân: 9.5; Môn Ngoại ngữ: 8.6; ,2024
5,"19000005",7.80,9.50,-1.00,-1.00,-1.00,9.50,10.00,9.50,8.40,N1,Môn Toán: 7.8; Môn Văn: 9.5; Môn Sử: 9.5; Môn Địa: 10; Môn Giáo dục công dân: 9.5; Môn Ngoại ngữ: 8.4; ,2024
6,"19000006",8.20,9.50,-1.00,-1.00,-1.00,9.00,9.50,8.75,9.00,N1,Môn Toán: 8.2; Môn Văn: 9.5; Môn Sử: 9; Môn Địa: 9.5; Môn Giáo dục công dân: 8.75; Môn Ngoại ngữ: 9; ,2024
7,"19000007",5.20,8.00,-1.00,-1.00,-1.00,5.75,8.75,9.50,-1.00,"",Môn Toán: 5.2; Môn Văn: 8; Môn Sử: 5.75; Môn Địa: 8.75; Môn Giáo dục công dân: 9.5; ,2024
8,"19000008",7.00,9.25,-1.00,-1.00,-1.00,8.50,9.50,9.00,8.40,N1,Môn Toán: 7; Môn Văn: 9.25; Môn Sử: 8.5; Môn Địa: 9.5; Môn Giáo dục công dân: 9; Môn Ngoại ngữ: 8.4; ,2024
9,"19000009",6.40,6.00,-1.00,-1.00,-1.00,5.50,6.75,7.50,5.40,N1,Môn Toán: 6.4; Môn Văn: 6; Môn Sử: 5.5; Môn Địa: 6.75; Môn Giáo dục công dân: 7.5; Môn Ngoại ngữ: 5.4; ,2024
10,"19000010",6.20,8.50,-1.00,-1.00,-1.00,6.00,5.75,8.75,7.20,N1,Môn Toán: 6.2; Môn Văn: 8.5; Môn Sử: 6; Môn Địa: 5.75; Môn Giáo dục công dân: 8.75; Môn Ngoại ngữ: 7.2; ,2024
11,"19000011",8.80,9.75,-1.00,-1.00,-1.00,9.00,8.00,9.00,9.40,N1,Môn Toán: 8.8; Môn Văn: 9.75; Môn Sử: 9; Môn Địa: 8; Môn Giáo dục công dân: 9; Môn Ngoại ngữ: 9.4; ,2024
12,"19000012",7.40,8.50,-1.00,-1.00,-1.00,6.50,7.75,9.50,8.00,N1,Môn Toán: 7.4; Môn Văn: 8.5; Môn Sử: 6.5; Môn Địa: 7.75; Môn Giáo dục công dân: 9.5; Môn Ngoại ngữ: 8; ,2024
13,"19000013",8.80,9.75,-1.00,-1.00,-1.00,8.25,8.50,8.00,8.60,N1,Môn Toán: 8.8; Môn Văn: 9.75; Môn Sử: 8.25; Môn Địa: 8.5; Môn Giáo dục công dân: 8; Môn Ngoại ngữ: 8.6; ,2024
14,"19000014",7.80,9.50,-1.00,-1.00,-1.00,3.50,6.50,9.00,8.40,N1,Môn Toán: 7.8; Môn Văn: 9.5; Môn Sử: 3.5; Môn Địa: 6.5; Môn Giáo dục công dân: 9; Môn Ngoại ngữ: 8.4; ,2024
15,"19000015",8.80,8.00,6.75,6.00,7.75,-1.00,-1.00,-1.00,7.00,N1,Môn Toán: 8.8; Môn Văn: 8; Môn Lý: 6.75; Môn Hóa: 6; Môn Sinh: 7.75; Môn Ngoại ngữ: 7; ,2024
16,"19000016",6.00,9.00,-1.00,-1.00,-1.00,6.00,7.75,8.50,4.00,N1,Môn Toán: 6; Môn Văn: 9; Môn Sử: 6; Môn Địa: 7.75; Môn Giáo dục công dân: 8.5; Môn Ngoại ngữ: 4; ,2024
17,"19000017",8.40,9.50,-1.00,-1.00,-1.00,7.75,8.00,9.25,9.00,N1,Môn Toán: 8.4; Môn Văn: 9.5; Môn Sử: 7.75; Môn Địa: 8; Môn Giáo dục công dân: 9.25; Môn Ngoại ngữ: 9; ,2024
18,"19000018",9.00,8.75,9.75,9.75,7.75,-1.00,-1.00,-1.00,9.40,N1,Môn Toán: 9; Môn Văn: 8.75; Môn Lý: 9.75; Môn Hóa: 9.75; Môn Sinh: 7.75; Môn Ngoại ngữ: 9.4; ,2024
19,"19000019",7.00,9.50,-1.00,-1.00,-1.00,9.75,9.25,8.25,4.20,N1,Môn Toán: 7; Môn Văn: 9.5; Môn Sử: 9.75; Môn Địa: 9.25; Môn Giáo dục công dân: 8.25; Môn Ngoại ngữ: 4.2; ,2024
20,"19000020",6.20,9.50,-1.00,-1.00,-1.00,8.25,7.50,8.50,8.80,N1,Môn Toán: 6.2; Môn Văn: 9.5; Môn Sử: 8.25; Môn Địa: 7.5; Môn Giáo dục công dân: 8.5; Môn Ngoại ngữ: 8.8; ,2024
21,"19000021",5.80,9.00,-1.00,-1.00,-1.00,9.50,9.75,8.50,5.80,N1,Môn Toán: 5.8; Môn Văn: 9; Môn Sử: 9.5; Môn Địa: 9.75; Môn Giáo dục công dân: 8.5; Môn Ngoại ngữ: 5.8; ,2024
