"candidate_number","block_A00","block_A01","block_B00","block_C00","block_D01"
"19000001",22.90,24.95,18.15,-1.00,24.70
"19000002",27.70,26.65,25.20,-1.00,25.65
"19000003",-1.00,-1.00,-1.00,17.25,15.15
"19000004",-1.00,-1.00,-1.00,26.50,27.35
"19000005",-1.00,-1.00,-1.00,29.00,25.70
"19000006",-1.00,-1.00,-1.00,28.00,26.70
"19000007",-1.00,-1.00,-1.00,22.50,-1.00
"19000008",-1.00,-1.00,-1.00,27.25,24.65
"19000009",-1.00,-1.00,-1.00,18.25,17.80
"19000010",-1.00,-1.00,-1.00,20.25,21.90
"19000011",-1.00,-1.00,-1.00,26.75,27.95
"19000012",-1.00,-1.00,-1.00,22.75,23.90
"19000013",-1.00,-1.00,-1.00,26.50,27.15
"19000014",-1.00,-1.00,-1.00,19.50,25.70
"19000015",21.55,22.55,22.55,-1.00,23.80
"19000016",-1.00,-1.00,-1.00,22.75,19.00
"19000017",-1.00,-1.00,-1.00,25.25,26.90
"19000018",28.50,28.15,26.50,-1.00,27.15
"19000019",-1.00,-1.00,-1.00,28.50,20.70
"19000020",-1.00,-1.00,-1.00,25.25,24.50
"19000021",-1.00,-1.00,-1.00,28.25,20.60
"19000022",-1.00,-1.00,-1.00,25.50,25.30
"19000023",-1.00,-1.00,-1.00,26.75,27.30
"19000024",24.15,22.20,27.40,-1.00,25.95
"19000025",-1.00,-1.00,-1.00,20.50,16.20
"19000026",-1.00,-1.00,-1.00,22.25,22.25
"19000027",23.10,25.40,20.85,-1.00,25.65
"19000028",26.50,25.30,25.25,-1.00,25.55
"19000029",-1.00,-1.00,-1.00,28.75,25.70
"19000030",-1.00,-1.00,-1.00,26.25,26.75
"19000031",-1.00,-1.00,-1.00,24.75,27.55
"19000032",-1.00,-1.00,-1.00,26.25,26.55
"19000033",-1.00,-1.00,-1.00,28.75,23.30
"19000034",22.00,26.95,18.50,-1.00,26.70
"19000035",22.45,25.20,19.95,-1.00,23.95
"19000036",-1.00,-1.00,-1.00,17.00,14.35
"19000037",24.30,23.85,22.80,-1.00,23.10
"19000038",25.55,21.55,22.55,-1.00,20.05
"19000039",-1.00,-1.00,-1.00,23.00,26.00
"19000040",27.45,25.25,23.45,-1.00,24.25
"19000041",-1.00,-1.00,-1.00,25.00,28.35
"19000042",-1.00,-1.00,-1.00,25.75,27.00
"19000043",-1.00,-1.00,-1.00,21.50,19.20
"19000044",-1.00,-1.00,-1.00,25.75,27.55
"19000045",26.55,25.05,23.30,-1.00,25.80
"19000046",-1.00,-1.00,-1.00,27.50,25.30
"19000047",-1.00,-1.00,-1.00,21.50,19.75
"19000048",-1.00,-1.00,-1.00,26.75,25.75
"19000049",-1.00,-1.00,-1.00,24.50,24.70
"19000050",-1.00,-1.00,-1.00,20.75,17.70
"19000051",-1.00,-1.00,-1.00,23.50,17.10
"19000052",-1.00,-1.00,-1.00,22.00,25.50
"19000053",-1.00,-1.00,-1.00,28.00,23.10
"19000054",-1.00,-1.00,-1.00,28.75,26.10
"19000055",-1.00,-1.00,-1.00,26.50,25.90
"19000056",26.00,26.55,24.25,-1.00,26.80
"19000057",21.85,19.20,26.35,-1.00,23.95
"19000058",21.25,25.95,20.00,-1.00,25.70
"19000059",23.30,-1.00,22.55,-1.00,-1.00
"19000060",26.15,24.95,28.65,-1.00,25.70
"19000061",-1.00,-1.00,-1.00,29.25,27.95
"19000062",-1.00,-1.00,-1.00,21.25,19.15
"19000063",26.50,24.00,24.00,-1.00,23.00
"19000064",25.95,25.25,23.70,-1.00,26.50
"19000065",22.15,21.70,25.90,-1.00,25.20
"19000066",22.55,26.55,18.80,-1.00,27.05
"19000067",23.50,20.70,28.50,-1.00,24.95
"19000068",-1.00,-1.00,-1.00,25.75,24.65
"19000069",-1.00,-1.00,-1.00,25.50,27.95
"19000070",-1.00,-1.00,-1.00,23.25,26.25
"19000071",-1.00,-1.00,-1.00,27.50,27.70
"19000072",23.90,-1.00,23.65,-1.00,-1.00
"19000073",-1.00,-1.00,-1.00,16.25,16.30
"19000074",20.80,25.90,19.05,-1.00,25.15
"19000075",25.10,24.85,22.85,-1.00,24.10
"19000076",-1.00,-1.00,-1.00,19.75,22.20
"19000077",22.35,22.15,21.35,-1.00,22.65
"19000078",25.85,23.95,24.35,-1.00,23.20
"19000079",21.05,24.95,20.05,-1.00,24.95
"19000080",27.85,25.65,25.85,-1.00,22.90
"19000081",9.65,13.15,11.65,-1.00,15.40
"19000082",24.60,21.05,23.85,-1.00,21.30
"19000083",26.85,24.05,25.10,-1.00,23.55
"19000084",28.65,25.90,25.40,-1.00,24.90
"19000085",24.25,27.65,22.00,-1.00,26.40
"19000086",-1.00,-1.00,-1.00,22.00,19.80
"19000087",-1.00,-1.00,-1.00,28.50,-1.00
"19000088",-1.00,-1.00,-1.00,28.50,26.00
"19000089",19.65,19.85,24.15,-1.00,26.35
"19000090",-1.00,-1.00,-1.00,26.25,27.30
"19000091",-1.00,-1.00,-1.00,25.50,27.15
"19000092",21.50,25.45,19.25,-1.00,25.45
"19000093",-1.00,-1.00,-1.00,16.00,15.30
"19000094",26.35,21.80,24.60,-1.00,21.55
"19000095",14.20,17.20,14.20,-1.00,19.70
"19000096",-1.00,-1.00,-1.00,21.75,22.95
"19000097",-1.00,-1.00,-1.00,25.75,22.10
"19000098",28.25,27.15,24.75,-1.00,24.65
"19000099",-1.00,-1.00,-1.00,23.00,15.15
"19000100",-1.00,-1.00,-1.00,29.25,21.15
"19000101",19.20,22.80,16.20,-1.00,23.80
"19000102",21.40,25.80,19.40,-1.00,26.80
"19000103",-1.00,-1.00,-1.00,29.50,24.75
"19000104",19.20,22.65,18.45,-1.00,23.40
"19000105",-1.00,-1.00,-1.00,24.50,26.75
"19000106",22.55,-1.00,22.55,-1.00,-1.00
"19000107",-1.00,-1.00,-1.00,26.75,26.55
"19000108",22.00,23.50,25.50,-1.00,26.50
"19000109",-1.00,-1.00,-1.00,22.00,27.15
"19000110",-1.00,-1.00,-1.00,22.25,22.50
"19000111",-1.00,-1.00,-1.00,19.25,18.20
